titulo,autores,resumo,link,data,imagem_url,fonte
Paper Circle: An Open-source Multi-agent Research Discovery and Analysis Framework,"Komal Kumar , Aman Chadha , Salman Khan , Fahad Shahbaz Khan , Hisham Cholakkal","The rapid growth of scientific literature has made it increasingly difficult for researchers to efficiently discover, evaluate, and synthesize relevant work. Recent advances in multi-agent large language models (LLMs) have demonstrated strong potential for understanding user intent and are being trained to utilize various tools. In this paper, we introduce Paper Circle, a multi-agent research discovery and analysis system designed to reduce the effort required to find, assess, organize, and understand academic literature. The system comprises two complementary pipelines: (1) a Discovery Pipeline that integrates offline and online retrieval from multiple sources, multi-criteria scoring, diversity-aware ranking, and structured outputs; and ( 2 ) an Analysis Pipeline that transforms individual papers into structured knowledge graphs with typed nodes such as concepts, methods, experiments, and figures, enabling graph-aware question answering and coverage verification. Both pipelines are implemented within a coder LLM-based multi-agent orchestration framework and produce fully reproducible, synchronized outputs including JSON, CSV, BibTeX, Markdown, and HTML at each agent step. This paper describes the system architecture, agent roles, retrieval and scoring methods, knowledge graph schema, and evaluation interfaces that together form the Paper Circle research workflow. We benchmark Paper Circle on both paper retrieval and paper review generation, reporting hit rate, MRR, and Recall at K. Results show consistent improvements with stronger agent models. We have publicly released the website at https://papercircle.vercel.app/ and the code at https://github.com/MAXNORM8650/papercircle. △ Less",https://arxiv.org/abs/2604.06170,"Submitted 7 April, 2026",,arXiv
Topological Characterization of Churn Flow and Unsupervised Correction to the Wu Flow-Regime Map in Small-Diameter Vertical Pipes,"Brady Koenig , Sushovan Majhi , Atish Mitra , Abigail Stein , Burt Todd","Churn flow-the chaotic, oscillatory regime in vertical two-phase flow-has lacked a quantitative mathematical definition for over $40$ years. We introduce the first topology-based characterization using Euler Characteristic Surfaces (ECS). We formulate unsupervised regime discovery as Multiple Kernel Learning (MKL), blending two complementary ECS-derived kernels-temporal alignment ($L^1$ distance on the $χ(s,t)$ surface) and amplitude statistics (scale-wise mean, standard deviation, max, min)-with gas velocity. Applied to $37$ unlabeled air-water trials from Montana Tech, the self-calibrating framework learns weights $β_{ECS}=0.14$, $β_{amp}=0.50$, $β_{ugs}=0.36$, placing $64\%$ of total weight on topology-derived features ($β_{ECS} + β_{amp}$). The ECS-inferred slug/churn transition lies $+3.81$ m/s above Wu et al.'s (2017) prediction in $2$ -in. tubing, quantifying reports that existing models under-predict slug persistence in small-diameter pipes where interfacial tension and wall-to-wall interactions dominate flow. Cross-facility validation on $947$ Texas A&M University images confirms $1.9\times$ higher topological complexity in churn vs. slug ($p < 10^{-5}$). Applied to $45$ TAMU pseudo-trials, the same unsupervised framework achieves $95.6\%$ $4$-class accuracy and $100\%$ churn recall-without any labeled training data-matching or exceeding supervised baselines that require thousands of annotated examples. This work provides the first mathematical definition of churn flow and demonstrates that unsupervised topological descriptors can challenge and correct widely adopted mechanistic models. △ Less",https://arxiv.org/abs/2604.06167,"Submitted 7 April, 2026",,arXiv
On supertoken graphs,"Mónica A. Reyes , Cristina Dalfó , Miquel Àngel Fiol","We generalize the concept of token graphs to obtain supertoken graphs. In the latter case, there can be more than one token in a vertex. We formally define supertoken graphs and establish their basic properties. Moreover, we provide some bounds and exact values on the independence number, clique number, and chromatic number of these graphs. Finally, we construct a new infinite family of graphs, which we call the $p$-augmented 2 -token graphs of cycles, and study their properties, including the spectral radius or largest adjacency eigenvalue. △ Less",https://arxiv.org/abs/2604.06164,"Submitted 7 April, 2026",,arXiv
"Data, Not Model: Explaining Bias toward LLM Texts in Neural Retrievers","Wei Huang , Keping Bi , Yinqiong Cai , Wei Chen , Jiafeng Guo , Xueqi Cheng","Recent studies show that neural retrievers often display source bias, favoring passages generated by LLMs over human-written ones, even when both are semantically similar. This bias has been considered an inherent flaw of retrievers, raising concerns about the fairness and reliability of modern information access systems. Our work challenges this view by showing that source bias stems from supervision in retrieval datasets rather than the models themselves. We found that non-semantic differences, like fluency and term specificity, exist between positive and negative documents, mirroring differences between LLM and human texts. In the embedding space, the bias direction from negatives to positives aligns with the direction from human-written to LLM-generated texts. We theoretically show that retrievers inevitably absorb the artifact imbalances in the training data during contrastive learning, which leads to their preferences over LLM texts. To mitigate the effect, we propose two approaches: 1) reducing artifact differences in training data and 2 ) adjusting LLM text vectors by removing their projection on the bias vector. Both methods substantially reduce source bias. We hope our study alleviates some concerns regarding LLM-generated texts in information access systems. △ Less",https://arxiv.org/abs/2604.06163,"Submitted 7 April, 2026",,arXiv
Tractable model for a fractionalized Fermi liquid (FL$^*$) on a square lattice,"Piers Coleman , Elio J. König , Aaditya Panigrahi , Alexei Tsvelik","Motivated by the continued interest in Fermi-surface reconstruction without symmetry breaking, we present an analytically tractable microscopic model of a fractionalized Fermi liquid (FL$^*$) on a square lattice and discuss its potential relevance to the cuprates. As in ancilla-qubit constructions, the model is related to Kondo lattice systems, but in this case, the conduction electrons interact with a $\mathbb{Z}_2$ spin liquid of the Yao--Lee type, with a Majorana Fermi surface. The associated $\mathbb Z_2$ gauge theory is static so that the model can be analytically solved to leading-logarithic accuracy. There are two phases: one in which the fractionalized fermions of the spin liquid hybridize with conduction electrons to form a common Fermi surface violating the naive Luttinger count, and one in which they remain decoupled. We discuss the salient features of the small Fermi-surface phase, including analytically derived momentum dependent coherence factors responsible for the appearance of Fermi arcs à la Yang-Rice-Zhang. We further discuss the impact of quantum and thermal fluctuations, including a strong diamagnetic response and a logarithmically divergent Sommerfeld coefficient at the onset of the pseudogap. △ Less",https://arxiv.org/abs/2604.06157,"Submitted 7 April, 2026",,arXiv
Who Governs the Machine? A Machine Identity Governance Taxonomy (MIGT) for AI Systems Operating Across Enterprise and Geopolitical Boundaries,"Andrew Kurtz , Klaudia Krawiecka","The governance of artificial intelligence has a blind spot: the machine identities that AI systems use to act. AI agents, service accounts, API tokens, and automated workflows now outnumber human identities in enterprise environments by ratios exceeding 80 to 1, yet no integrated framework exists to govern them. A single ungoverned automated agent produced $5.4-10 billion in losses in the 2024 CrowdStrike outage; nation-state actors including Silk Typhoon and Salt Typhoon have operationalized ungoverned machine credentials as primary espionage vectors against critical infrastructure. This paper makes four original contributions. First, the AI-Identity Risk Taxonomy (AIRT): a comprehensive enumeration of 37 risk sub-categories across eight domains, each grounded in documented incidents, regulatory recognition, practitioner prevalence data, and threat intelligence. Second, the Machine Identity Governance Taxonomy (MIGT): an integrated six-domain governance framework simultaneously addressing the technical governance gap, the regulatory compliance gap, and the cross-jurisdictional coordination gap that existing frameworks address only in isolation. Third, a foreign state actor threat model for enterprise identity governance, establishing that Silk Typhoon, Salt Typhoon, Volt Typhoon, and North Korean AI-enhanced identity fraud operations have already operationalized AI identity vulnerabilities as active attack vectors. Fourth, a cross-jurisdictional regulatory alignment structure mapping enterprise AI identity governance obligations under EU, US, and Chinese frameworks simultaneously, identifying irreconcilable conflicts and providing a governance mechanism for managing them. A four-phase implementation roadmap translates the MIGT into actionable enterprise programs. △ Less",https://arxiv.org/abs/2604.06148,"Submitted 7 April, 2026",,arXiv
Uncertainty quantified three-body model applied to the two-neutron halo $^{22}$C,"Patrick McGlynn , Chloë Hebborn","Two-neutron halo nuclei offer a fascinating probe into the behaviour of quantum few-body systems at the limits of binding. Although few nuclei have already been clearly identified, many of their properties remain poorly constrained. $^{22}$C, one of the heaviest, still lacks a precise identification of its static and dynamic properties, such as its mass and dipole strength in the continuum. One main difficulty is that properties of two-neutron halo nuclei are inferred from experimental data using a theoretical model. Therefore, accurately determining the characteristics of two-neutron halo nuclei requires an accurate theoretical model and careful quantification of the uncertainties. In this work, we examine $^{22}$C with a three-body model, seeing $^{22}$C as a $^{20}$C core and two halo neutrons, and quantify for the first time the uncertainties associated with the $^{20}$C-$n$ interaction using a Bayesian approach. We propagate these uncertainties to properties of bound and scattering states of $^{22}$C, as well as its dipole strength. The comparison of our prediction for the matter radius to experimentally-derived values suggests that $^{22}$C is bound by less than 0.35~MeV and is dominated by a $(s_{1/2})^2$ configuration. Our analysis of the dipole strength shows that final-state interaction needs to be included for an accurate description, the uncertainties on the strength function are about 50\% and are mostly influenced by uncertainties on the ground-state properties, and partial-wave occupation of $^{22}$C depends on the scattering length and the $d_{3/2}$ resonance energy of the $^{20}$C-$n$ unbound system. Such sensitivity of the dipole strength to the properties of both $^{21}$C and $^{22}$C properties motivates a precise measurement of the $^{22}$C dipole strength function, that will allow to precisely and accurately resolve the spectroscopy of these nuclei. △ Less",https://arxiv.org/abs/2604.06139,"Submitted 7 April, 2026",,arXiv
Absorption and quasinormal modes by rotating acoustic black holes in Lorentz-violating background,"J. A. V. Campos , M. A. Anacleto , F. A. Brito , E. Passos , Amilcar R. Queiroz","In this work, we investigate the effects of Lorentz symmetry violation on the absorption cross section and quasinormal modes of a rotating acoustic black hole in ( 2 +1) dimensions. The absorption cross section was analyzed analytically, using the low and high frequency regimes, and numerically, through integration of the radial equation. The results showed that Lorentz violation increases the absorption cross section at all energy scales, with a contribution from the rotation parameter $B$ appearing even in the low frequency regime. For the quasinormal modes, we observed that symmetry breaking decreases the real part of the frequencies and increases the magnitude of the corresponding imaginary part, indicating a faster damping of the oscillations. △ Less",https://arxiv.org/abs/2604.06137,"Submitted 7 April, 2026",,arXiv
Shot-Based Quantum Encoding: A Data-Loading Paradigm for Quantum Neural Networks,"Basil Kyriacou , Viktoria Patapovich , Maniraman Periyasamy , Alexey Melnikov","Efficient data loading remains a bottleneck for near-term quantum machine-learning. Existing schemes (angle, amplitude, and basis encoding) either underuse the exponential Hilbert-space capacity or require circuit depths that exceed the coherence budgets of noisy intermediate-scale quantum hardware. We introduce Shot-Based Quantum Encoding (SBQE), a data embedding strategy that distributes the hardware's native resource, shots, according to a data-dependent classical distribution over multiple initial quantum states. By treating the shot counts as a learnable degree of freedom, SBQE produces a mixed-state representation whose expectation values are linear in the classical probabilities and can therefore be composed with non-linear activation functions. We show that SBQE is structurally equivalent to a multilayer perceptron whose weights are realised by quantum circuits, and we describe a hardware-compatible implementation protocol. Benchmarks on Fashion MNIST and Semeion handwritten digits, with ten independent initialisations per model, show that SBQE achieves 89.1% +/- 0.9% test accuracy on Semeion (reducing error by 5.3% relative to amplitude encoding and matching a width-matched classical network) and 80.95% +/- 0.10% on Fashion MNIST (exceeding amplitude encoding by +2.0% and a linear multilayer perceptron by +1.3%), all without any data-encoding gates. △ Less",https://arxiv.org/abs/2604.06135,"Submitted 7 April, 2026",,arXiv
Claw-Eval: Toward Trustworthy Evaluation of Autonomous Agents,"Bowen Ye , Rang Li , Qibin Yang , Yuanxin Liu , Linli Yao , Hanglong Lv , Zhihui Xie , Chenxin An , Lei Li , Lingpeng Kong , Qi Liu , Zhifang Sui , Tong Yang","Large language models are increasingly deployed as autonomous agents executing multi-step workflows in real-world software environments. However, existing agent benchmarks suffer from three critical limitations: (1) trajectory-opaque grading that checks only final outputs, ( 2 ) underspecified safety and robustness evaluation, and (3) narrow modality coverage and interaction paradigms. We introduce Claw-Eval, an end-to-end evaluation suite addressing all three gaps. It comprises 300 human-verified tasks spanning 9 categories across three groups (general service orchestration, multimodal perception and generation, and multi-turn professional dialogue). Every agent action is recorded through three independent evidence channels (execution traces, audit logs, and environment snapshots), enabling trajectory-aware grading over 2,159 fine-grained rubric items. The scoring protocol evaluates Completion, Safety, and Robustness, reporting Average Score, Pass@k, and Pass^k across three trials to distinguish genuine capability from lucky outcomes. Experiments on 14 frontier models reveal that: (1) trajectory-opaque evaluation is systematically unreliable, missing 44% of safety violations and 13% of robustness failures that our hybrid pipeline catches; ( 2 ) controlled error injection primarily degrades consistency rather than peak capability, with Pass^3 dropping up to 24% while Pass@3 remains stable; (3) multimodal performance varies sharply, with most models performing poorer on video than on document or image, and no single model dominating across all modalities. Beyond benchmarking, Claw-Eval highlights actionable directions for agent development, shedding light on what it takes to build agents that are not only capable but reliably deployable. △ Less",https://arxiv.org/abs/2604.06132,"Submitted 7 April, 2026",,arXiv
